Chunk (0, 0, 0) | Triangles: 440
idx | VertA | VertB | VertC | maxEdge
----+-------+-------+-------+--------
   0 | (2,91,4,00,7,00) | (3,00,4,00,7,00) | (3,00,4,24,7,00) | 0,26
   1 | (3,00,4,24,7,00) | (4,00,5,00,7,00) | (3,76,5,00,7,00) | 1,25
   2 | (4,24,5,00,7,00) | (5,00,4,00,7,00) | (5,00,4,24,7,00) | 1,25
   3 | (5,09,4,00,7,00) | (5,00,4,24,7,00) | (5,00,4,00,7,00) | 0,26
   4 | (3,76,5,00,7,00) | (4,00,5,00,7,00) | (4,00,5,09,7,00) | 0,26
   5 | (4,24,5,00,7,00) | (4,00,5,09,7,00) | (4,00,5,00,7,00) | 0,26
   6 | (3,00,4,00,1,00) | (2,91,4,00,1,00) | (3,00,4,24,1,00) | 0,26
   7 | (3,76,5,00,1,00) | (3,00,4,00,1,00) | (3,00,4,24,1,00) | 1,25
   8 | (5,00,4,24,1,00) | (4,00,5,00,1,00) | (4,24,5,00,1,00) | 1,25
   9 | (5,00,4,00,1,00) | (5,00,4,24,1,00) | (5,09,4,00,1,00) | 0,26
  10 | (4,00,5,00,1,00) | (3,76,5,00,1,00) | (4,00,5,09,1,00) | 0,26
  11 | (4,00,5,00,1,00) | (4,00,5,09,1,00) | (4,24,5,00,1,00) | 0,26
  12 | (4,00,2,91,7,00) | (4,00,3,00,7,00) | (3,76,3,00,7,00) | 0,26
  13 | (4,24,3,00,7,00) | (4,00,3,00,7,00) | (4,00,2,91,7,00) | 0,26
  14 | (3,00,3,76,7,00) | (3,00,4,00,7,00) | (2,91,4,00,7,00) | 0,26
  15 | (3,76,3,00,7,00) | (3,00,4,00,7,00) | (3,00,3,76,7,00) | 1,25
  16 | (5,00,3,76,7,00) | (4,00,3,00,7,00) | (4,24,3,00,7,00) | 1,25
  17 | (5,09,4,00,7,00) | (5,00,4,00,7,00) | (5,00,3,76,7,00) | 0,26
  18 | (4,00,2,91,1,00) | (3,76,3,00,1,00) | (4,00,3,00,1,00) | 0,26
  19 | (4,00,3,00,1,00) | (4,24,3,00,1,00) | (4,00,2,91,1,00) | 0,26
  20 | (3,00,3,76,1,00) | (2,91,4,00,1,00) | (3,00,4,00,1,00) | 0,26
  21 | (3,00,3,76,1,00) | (4,00,3,00,1,00) | (3,76,3,00,1,00) | 1,25
  22 | (4,24,3,00,1,00) | (5,00,4,00,1,00) | (5,00,3,76,1,00) | 1,25
  23 | (5,00,4,00,1,00) | (5,09,4,00,1,00) | (5,00,3,76,1,00) | 0,26
  24 | (3,00,1,73,6,00) | (3,00,2,00,6,27) | (2,57,2,00,6,00) | 0,51
  25 | (4,00,1,52,6,00) | (3,00,2,00,6,27) | (3,00,1,73,6,00) | 1,14
  26 | (5,00,1,73,6,00) | (4,00,2,00,6,48) | (4,00,1,52,6,00) | 1,14
  27 | (5,43,2,00,6,00) | (5,00,2,00,6,27) | (5,00,1,73,6,00) | 0,51
  28 | (2,00,2,57,6,00) | (2,00,3,00,6,27) | (1,73,3,00,6,00) | 0,51
  29 | (2,57,2,00,6,00) | (2,00,3,00,6,27) | (2,00,2,57,6,00) | 1,18
  30 | (4,00,2,91,7,00) | (3,76,3,00,7,00) | (3,00,3,00,6,87) | 1,01
  31 | (4,24,3,00,7,00) | (4,00,2,91,7,00) | (4,00,2,00,6,48) | 1,15
